,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
81,82,Dove Cameron,Boyfriend,Disruptor Records/Columbia,11,9088896,9252772,8893144,9107971,28,82,82,82,14
82,83,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,2,9077206,9163727,8823098,8933352,80,83,83,83,6
83,84,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,84,9073282,9140456,8810787,8909119,1,84,84,84,32
84,85,Bad Bunny,Enséñame a Bailar,Rimas Entertainment LLC,27,9071540,9107037,8759142,8837989,19,85,NaN,85,22
85,86,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3,9037431,NaN,8757802,8729632,25,NaN,86,86,7
86,87,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,Republic Records,18,8983833,9044852,8746855,NaN,NaN,87,87,NaN,NaN
87,88,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,8857019,9019845,8727696,NaN,NaN,88,88,NaN,NaN
88,89,Jaymes Young,Infinity,Atlantic Records,11,8680244,8954114,8617562,NaN,NaN,89,89,NaN,NaN
89,90,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,7,8679732,8924791,8551455,8561162,1,90,90,90,76
90,91,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",91,8594797,8851968,8491133,8520411,53,91,91,91,25
91,92,The Walters,I Love You So,Warner Records,21,8512128,8758000,8469453,8488220,3,92,92,92,63
92,93,The Weeknd,Save Your Tears,Republic Records,2,8386993,8738004,8429512,8423351,22,93,93,93,14
93,94,Arctic Monkeys,505,Domino Recording Co,53,8380407,8624384,8282209,8420353,2,94,94,94,81
94,95,Tate McRae,she's all i wanna be,RCA Records Label,38,8301644,8621633,8234388,8343755,3,95,NaN,95,39
95,96,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,8290873,8573760,8150910,NaN,NaN,96,96,NaN,NaN
96,97,"Sleepy Hallow, 347aidan",Die Young (feat. 347aidan),Winners Circle/RCA Records,97,8064472,NaN,8144362,8297894,8,NaN,97,97,5
97,98,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,59,8053103,8510315,8128711,8238717,64,98,NaN,98,9
98,99,Eminem,Without Me,Aftermath,31,8029159,8494479,8073657,8216509,6,99,99,99,47
99,100,The Kid LAROI,Thousand Miles,Columbia,18,7987590,NaN,8064962,NaN,NaN,NaN,100,NaN,NaN
100,101,Bad Bunny,El Apagón,Rimas Entertainment LLC,28,7977864,8420853,8027674,8141965,3,101,101,101,64
101,102,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,7968047,8381691,8027580,NaN,NaN,102,102,NaN,NaN
